gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
JUND,B,1.089814,2,1,tf,0.9784,0.6282,1
NFKB1,B,0.78,1,1,tf,1.0,0.0,2
PAX5,B,0.76894,1,1,tf,0.9858,0.0,3
CTCF,B,0.761615,1,1,tf,0.9764,0.0,4
CEBPB,B,0.750827,1,1,tf,0.9626,0.0,5
SPI1,B,0.750027,1,1,tf,0.9616,0.0,6
YY1,B,0.737591,1,1,tf,0.9456,0.0,7
TAF1,B,0.737591,1,1,tf,0.9456,0.0,8
JUN,B,0.736564,1,1,tf,0.9443,0.0,9
MEF2A,B,0.735452,1,1,tf,0.9429,0.0,10
FOXA1,B,0.733458,1,1,tf,0.9403,0.0,11
GATA2,B,0.729027,1,1,tf,0.9347,0.0,12
MAFK,B,0.729027,1,1,tf,0.9347,0.0,13
FOS,B,0.721413,1,1,tf,0.9249,0.0,14
USF1,B,0.720228,1,1,tf,0.9234,0.0,15
IRF4,B,0.718576,1,1,tf,0.9213,0.0,16
TBP,B,0.716954,1,1,tf,0.9192,0.0,17
RAD21,B,0.714831,1,1,tf,0.9165,0.0,18
EGR1,B,0.71209,1,1,tf,0.9129,0.0,19
MYC,B,0.709184,1,1,tf,0.9092,0.0,20
EBF1,B,0.70476,1,1,tf,0.9035,0.0,21
SMC3,B,0.686317,1,1,tf,0.8799,0.0,22
STAT3,B,0.685763,1,1,tf,0.8792,0.0,23
TCF12,B,0.685763,1,1,tf,0.8792,0.0,24
MAX,B,0.678399,1,1,tf,0.8697,0.0,25
BCL11A,B,0.670722,1,1,tf,0.8599,0.0,26
FOXA2,B,0.662545,1,1,tf,0.8494,0.0,27
GATA3,B,0.662181,1,1,tf,0.849,0.0,28
GATA1,B,0.660783,1,1,tf,0.8472,0.0,29
TCF4,B,0.656141,1,1,tf,0.8412,0.0,30
USF2,B,0.654271,1,1,tf,0.8388,0.0,31
E2F1,B,0.637166,1,1,tf,0.8169,0.0,32
TAL1,B,0.619759,1,1,tf,0.7946,0.0,33
MAFF,B,0.613042,1,1,tf,0.786,0.0,34
NR3C2,B,0.609841,1,1,tf,0.7818,0.0,35
HEY1,B,0.607709,1,1,tf,0.7791,0.0,36
POLR2A,B,0.590838,1,1,other,0.9847,0.0,37
POL2,B,0.587431,1,1,other,0.9791,0.0,38
EP300,B,0.569906,1,1,other,0.9498,0.0,39
FOSL2,B,0.560187,1,1,tf,0.7182,0.0,40
SP1,B,0.559821,1,1,other,0.933,0.0,41
BATF,B,0.558286,1,1,other,0.9305,0.0,42
ELF1,B,0.544057,1,1,other,0.9068,0.0,43
MEF2C,B,0.535017,2,1,tf,0.685,0.0013,44
POU2F2,B,0.513104,1,1,other,0.8552,0.0,45
SRT,B,0.493396,1,1,other,0.8223,0.0,46
REST,B,0.486506,1,1,other,0.8108,0.0,47
HDAC2,B,0.474632,1,1,other,0.7911,0.0,48
E2F6,B,0.474448,1,1,other,0.7907,0.0,49
TRIM28,B,0.460079,1,1,other,0.7668,0.0,50
FOSL1,B,0.458085,1,1,tf,0.5873,0.0,51
ZNF263,B,0.450556,1,1,other,0.7509,0.0,52
STAT1,B,0.448432,1,1,tf,0.5749,0.0,53
HNF4A,B,0.44635,1,1,other,0.7439,0.0,54
ESR1,B,0.438542,1,1,tf,0.5622,0.0,55
MXI1,B,0.437895,1,1,tf,0.5614,0.0,56
GABPB1,B,0.437803,1,1,other,0.7297,0.0,57
RXRA,B,0.431949,1,1,other,0.7199,0.0,58
SIN3A,B,0.428904,1,1,other,0.7148,0.0,59
PBX3,B,0.426573,1,1,tf,0.5469,0.0,60
RFX5,B,0.424569,1,1,other,0.7076,0.0,61
CCNT2,B,0.422467,1,1,other,0.7041,0.0,62
ZNF143,B,0.419112,1,1,other,0.6985,0.0,63
SETDB1,B,0.417638,1,1,other,0.6961,0.0,64
JUNB,B,0.40559,1,1,tf,0.52,0.0,65
TFAP2C,B,0.385327,1,1,other,0.6422,0.0,66
ZBTB7A,B,0.381174,1,1,other,0.6353,0.0,67
NANOG,B,0.37015,1,1,other,0.6169,0.0,68
HNF4G,B,0.369873,1,1,other,0.6165,0.0,69
IRF1,B,0.368399,1,1,tf,0.4723,0.0,70
ZEB1,B,0.358851,2,1,tf,0.46,0.0001,71
CTCFL,B,0.330225,1,1,other,0.5504,0.0,72
TFAP2A,B,0.326033,1,1,other,0.5434,0.0,73
HMGN3,B,0.307166,1,1,other,0.5119,0.0,74
CHD2,B,0.293453,1,1,other,0.4891,0.0,75
PRDM1,B,0.281343,1,1,tf,0.3607,0.0,76
MTRNR2L8,B,0.28,1,1,mitochondrial,0.0,1.0,77
BCL3,B,0.279539,1,1,other,0.4659,0.0,78
SMARCB1,B,0.262477,1,1,other,0.4375,0.0,79
GTF2F1,B,0.261326,1,1,other,0.4355,0.0,80
NFYB,B,0.239391,1,1,other,0.399,0.0,81
E2F4,B,0.237551,1,1,tf,0.3046,0.0,82
BCLAF1,B,0.233815,1,1,other,0.3897,0.0,83
NRF1,B,0.231707,1,1,other,0.3862,0.0,84
HSP90AB1,B,0.227612,1,1,other,0.0,0.569,85
COTL1,B,0.226056,1,1,other,0.0,0.5651,86
TAF7,B,0.214849,1,1,other,0.3581,0.0,87
NFYA,B,0.213293,1,1,other,0.3555,0.0,88
ETS1,B,0.211549,1,1,other,0.3526,0.0,89
ATF3,B,0.199285,1,1,other,0.3321,0.0,90
BHLHE40,B,0.199136,1,1,other,0.3319,0.0,91
GTF2B,B,0.194738,1,1,other,0.3246,0.0,92
POU5F1,B,0.186933,1,1,other,0.3116,0.0,93
STAT2,B,0.185869,1,1,tf,0.2383,0.0,94
BRCA1,B,0.178936,1,1,other,0.2982,0.0,95
NFE2,B,0.178803,1,1,tf,0.2292,0.0,96
SMARCC1,B,0.169089,1,1,other,0.2818,0.0,97
ELK4,B,0.159757,1,1,other,0.2663,0.0,98
SIRT6,B,0.15468,1,1,other,0.2578,0.0,99
SIX5,B,0.13828,1,1,other,0.2305,0.0,100
SMARCA4,B,0.137535,1,1,other,0.2292,0.0,101
ZBTB33,B,0.131657,1,1,other,0.2194,0.0,102
POLR3A,B,0.100992,1,1,other,0.1683,0.0,103
ZZZ3,B,0.100876,1,1,other,0.1681,0.0,104
SP2,B,0.100647,1,1,other,0.1677,0.0,105
WHIP,B,0.094024,1,1,other,0.1567,0.0,106
THAP1,B,0.08936,1,1,other,0.1489,0.0,107
NR2C2,B,0.087921,1,1,other,0.1465,0.0,108
IRF3,B,0.083793,1,1,tf,0.1074,0.0,109
RDBP,B,0.082805,1,1,other,0.138,0.0,110
SMARCC2,B,0.081551,1,1,other,0.1359,0.0,111
CTBP2,B,0.067915,1,1,other,0.1132,0.0,112
BRF2,B,0.067164,1,1,other,0.1119,0.0,113
SUZ12,B,0.063511,1,1,tf,0.0814,0.0,114
HSF1,B,0.052008,1,1,other,0.0867,0.0,115
KAT2A,B,0.051132,1,1,other,0.0852,0.0,116
SREBF1,B,0.049983,1,1,other,0.0833,0.0,117
ZNF274,B,0.048367,1,1,other,0.0806,0.0,118
TCL1A,B,0.040315,1,1,other,0.0,0.1008,119
IGKC,B,0.031062,1,1,immunoglobulin,0.0,0.1412,120
HBB,B,0.024977,1,1,hemoglobin,0.0,0.1388,121
PPARGC1A,B,0.024896,1,1,other,0.0415,0.0,122
HDAC8,B,0.02334,1,1,other,0.0389,0.0,123
HBA2,B,0.018845,1,1,hemoglobin,0.0,0.1047,124
FAM48A,B,0.018185,1,1,other,0.0303,0.0,125
ESRRA,B,0.017774,1,1,other,0.0296,0.0,126
BDP1,B,0.016607,1,1,other,0.0277,0.0,127
NR3C1,B,0.016529,1,1,tf,0.0212,0.0,128
CD79B,B,0.009462,1,1,other,0.0,0.0237,129
HBA1,B,0.009197,1,1,hemoglobin,0.0,0.0511,130
IGLC2,B,0.009196,1,1,immunoglobulin,0.0,0.0418,131
BLK,B,0.009004,1,1,other,0.0,0.0225,132
BANK1,B,0.007459,1,1,other,0.0,0.0186,133
S100A9,B,0.006217,1,1,other,0.0,0.0155,134
BRF1,B,0.006133,1,1,other,0.0102,0.0,135
