gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
CEBPB,CD4+ T,0.78,1,3,tf,1.0,0.0,1
MAFK,CD4+ T,0.743302,1,3,tf,0.953,0.0,2
CTCF,CD4+ T,0.742686,1,3,tf,0.9522,0.0,3
GATA2,CD4+ T,0.739408,2,3,tf,0.9467,0.0018,4
FOXA1,CD4+ T,0.737152,1,3,tf,0.9451,0.0,5
YY1,CD4+ T,0.721888,1,3,tf,0.9255,0.0,6
USF1,CD4+ T,0.716562,1,3,tf,0.9187,0.0,7
JUND,CD4+ T,0.714183,2,3,tf,0.9092,0.0096,8
RAD21,CD4+ T,0.713283,1,3,tf,0.9145,0.0,9
TAF1,CD4+ T,0.712668,1,3,tf,0.9137,0.0,10
FOS,CD4+ T,0.702304,2,3,tf,0.8983,0.0031,11
SPI1,CD4+ T,0.699301,1,3,tf,0.8965,0.0,12
TBP,CD4+ T,0.68318,1,3,tf,0.8759,0.0,13
STAT3,CD4+ T,0.665526,1,3,tf,0.8532,0.0,14
SMC3,CD4+ T,0.656533,1,3,tf,0.8417,0.0,15
JUN,CD4+ T,0.639412,2,3,tf,0.819,0.0011,16
FOXA2,CD4+ T,0.616467,1,3,tf,0.7903,0.0,17
EGR1,CD4+ T,0.611085,1,3,tf,0.7834,0.0,18
MAFF,CD4+ T,0.597582,1,3,tf,0.7661,0.0,19
EP300,CD4+ T,0.5924,1,3,other,0.9873,0.0,20
MYC,CD4+ T,0.588049,1,3,tf,0.7539,0.0,21
HEY1,CD4+ T,0.586606,1,3,tf,0.7521,0.0,22
POLR2A,CD4+ T,0.578958,1,3,other,0.9649,0.0,23
POL2,CD4+ T,0.576807,1,3,other,0.9613,0.0,24
TCF4,CD4+ T,0.575559,2,3,tf,0.737,0.0014,25
E2F1,CD4+ T,0.572039,1,3,tf,0.7334,0.0,26
MAX,CD4+ T,0.568405,1,3,tf,0.7287,0.0,27
GATA1,CD4+ T,0.566883,2,3,tf,0.7253,0.0022,28
GATA3,CD4+ T,0.547271,1,3,tf,0.7016,0.0,29
PAX5,CD4+ T,0.538181,1,3,tf,0.69,0.0,30
USF2,CD4+ T,0.497296,1,3,tf,0.6376,0.0,31
EBF1,CD4+ T,0.496753,1,3,tf,0.6369,0.0,32
