gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
CTCF,Eryp,0.774963,1,2,tf,0.9935,0.0,1
CEBPB,Eryp,0.736886,1,2,tf,0.9447,0.0,2
YY1,Eryp,0.726922,1,2,tf,0.932,0.0,3
TAF1,Eryp,0.718029,1,2,tf,0.9205,0.0,4
TBP,Eryp,0.690877,1,2,tf,0.8857,0.0,5
USF1,Eryp,0.668771,1,2,tf,0.8574,0.0,6
SPI1,Eryp,0.668771,1,2,tf,0.8574,0.0,7
RAD21,Eryp,0.656023,1,2,tf,0.8411,0.0,8
HEY1,Eryp,0.65586,1,2,tf,0.8408,0.0,9
MAFK,Eryp,0.634569,1,2,tf,0.8136,0.0,10
GATA2,Eryp,0.630765,2,2,tf,0.8083,0.0006,11
FOXA1,Eryp,0.629332,1,2,tf,0.8068,0.0,12
EGR1,Eryp,0.627548,1,2,tf,0.8045,0.0,13
JUND,Eryp,0.607208,2,2,tf,0.7763,0.0032,14
NFKB1,Eryp,0.605358,1,2,tf,0.7761,0.0,15
PAX5,Eryp,0.605358,1,2,tf,0.7761,0.0,16
POL2,Eryp,0.6,1,2,other,1.0,0.0,17
FOS,Eryp,0.599698,2,2,tf,0.767,0.0027,18
SMC3,Eryp,0.596863,1,2,tf,0.7652,0.0,19
MYC,Eryp,0.593126,1,2,tf,0.7604,0.0,20
MAX,Eryp,0.57817,1,2,tf,0.7412,0.0,21
POLR2A,Eryp,0.576138,1,2,other,0.9602,0.0,22
STAT3,Eryp,0.56835,1,2,tf,0.7287,0.0,23
TCF12,Eryp,0.551229,2,2,tf,0.7035,0.0049,24
JUN,Eryp,0.545844,2,2,tf,0.6995,0.0004,25
EBF1,Eryp,0.544088,1,2,tf,0.6975,0.0,26
E2F1,Eryp,0.536588,1,2,tf,0.6879,0.0,27
SP1,Eryp,0.535744,1,2,other,0.8929,0.0,28
FOXA2,Eryp,0.526581,1,2,tf,0.6751,0.0,29
ELF1,Eryp,0.52051,1,2,other,0.8675,0.0,30
GATA1,Eryp,0.514013,2,2,tf,0.6585,0.0008,31
MAFF,Eryp,0.510502,1,2,tf,0.6545,0.0,32
EP300,Eryp,0.508302,1,2,other,0.8472,0.0,33
TCF4,Eryp,0.491381,2,2,tf,0.6297,0.0005,34
USF2,Eryp,0.488646,1,2,tf,0.6265,0.0,35
POU2F2,Eryp,0.487697,1,2,other,0.8128,0.0,36
IRF1,Eryp,0.485422,1,2,tf,0.6223,0.0,37
GATA3,Eryp,0.467667,1,2,tf,0.5996,0.0,38
SIN3A,Eryp,0.463097,1,2,other,0.7718,0.0,39
REST,Eryp,0.46078,1,2,other,0.768,0.0,40
TAL1,Eryp,0.459707,1,2,tf,0.5894,0.0,41
E2F6,Eryp,0.454491,1,2,other,0.7575,0.0,42
CCNT2,Eryp,0.431865,1,2,other,0.7198,0.0,43
MXI1,Eryp,0.422617,1,2,tf,0.5418,0.0,44
GABPB1,Eryp,0.417649,1,2,other,0.6961,0.0,45
FOSL2,Eryp,0.409584,1,2,tf,0.5251,0.0,46
MEF2A,Eryp,0.408057,1,2,tf,0.5232,0.0,47
IRF4,Eryp,0.404287,1,2,tf,0.5183,0.0,48
NR3C2,Eryp,0.399944,1,2,tf,0.5127,0.0,49
ZNF263,Eryp,0.388188,1,2,other,0.647,0.0,50
ZBTB7A,Eryp,0.374421,1,2,other,0.624,0.0,51
HMGN3,Eryp,0.370999,1,2,other,0.6183,0.0,52
RFX5,Eryp,0.363039,1,2,other,0.6051,0.0,53
E2F4,Eryp,0.359947,1,2,tf,0.4615,0.0,54
ESR1,Eryp,0.358192,1,2,tf,0.4592,0.0,55
GTF2F1,Eryp,0.356924,1,2,other,0.5949,0.0,56
HDAC2,Eryp,0.352885,1,2,other,0.5881,0.0,57
BCL11A,Eryp,0.352624,2,2,tf,0.4521,0.0,58
SRT,Eryp,0.348639,1,2,other,0.5811,0.0,59
HNF4A,Eryp,0.341693,1,2,other,0.5695,0.0,60
ZNF143,Eryp,0.340625,1,2,other,0.5677,0.0,61
CHD2,Eryp,0.333365,1,2,other,0.5556,0.0,62
STAT1,Eryp,0.322563,1,2,tf,0.4135,0.0,63
BATF,Eryp,0.322502,1,2,other,0.5375,0.0,64
TRIM28,Eryp,0.321272,1,2,other,0.5355,0.0,65
TFAP2C,Eryp,0.318506,1,2,other,0.5308,0.0,66
PBX3,Eryp,0.318183,2,2,tf,0.4074,0.0008,67
TAF7,Eryp,0.315607,1,2,other,0.526,0.0,68
RXRA,Eryp,0.31099,1,2,other,0.5183,0.0,69
ETS1,Eryp,0.309315,1,2,other,0.5155,0.0,70
HNF4G,Eryp,0.308,1,2,other,0.5133,0.0,71
SETDB1,Eryp,0.306204,1,2,other,0.5103,0.0,72
ZEB1,Eryp,0.300327,1,2,tf,0.385,0.0,73
JUNB,Eryp,0.296298,1,2,tf,0.3799,0.0,74
NFYB,Eryp,0.283933,1,2,other,0.4732,0.0,75
MEF2C,Eryp,0.283395,2,2,tf,0.3625,0.0013,76
CTCFL,Eryp,0.281931,1,2,other,0.4699,0.0,77
BCL3,Eryp,0.273681,1,2,other,0.4561,0.0,78
