gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
TCF12,GMP,0.901778,2,1,tf,0.7752,0.5714,1
SPI1,GMP,0.778533,2,1,tf,0.9928,0.0079,2
CEBPB,GMP,0.773299,1,1,tf,0.9914,0.0,3
CTCF,GMP,0.768856,1,1,tf,0.9857,0.0,4
JUND,GMP,0.758452,1,1,tf,0.9724,0.0,5
FOXA1,GMP,0.746219,1,1,tf,0.9567,0.0,6
GATA2,GMP,0.744513,1,1,tf,0.9545,0.0,7
STAT3,GMP,0.73742,1,1,tf,0.9454,0.0,8
RAD21,GMP,0.737185,1,1,tf,0.9451,0.0,9
YY1,GMP,0.733781,1,1,tf,0.9407,0.0,10
USF1,GMP,0.732977,1,1,tf,0.9397,0.0,11
MAFK,GMP,0.728778,1,1,tf,0.9343,0.0,12
TAF1,GMP,0.72657,1,1,tf,0.9315,0.0,13
JUN,GMP,0.72597,1,1,tf,0.9307,0.0,14
FOS,GMP,0.716576,2,1,tf,0.9179,0.0011,15
FOXA2,GMP,0.70093,1,1,tf,0.8986,0.0,16
TBP,GMP,0.698131,1,1,tf,0.895,0.0,17
SMC3,GMP,0.697075,1,1,tf,0.8937,0.0,18
EBF1,GMP,0.695523,1,1,tf,0.8917,0.0,19
HEY1,GMP,0.691616,1,1,tf,0.8867,0.0,20
MAFF,GMP,0.687841,1,1,tf,0.8818,0.0,21
MYC,GMP,0.67763,1,1,tf,0.8688,0.0,22
EGR1,GMP,0.675141,1,1,tf,0.8656,0.0,23
MAX,GMP,0.670421,1,1,tf,0.8595,0.0,24
E2F1,GMP,0.667991,1,1,tf,0.8564,0.0,25
PAX5,GMP,0.666124,1,1,tf,0.854,0.0,26
NFKB1,GMP,0.661303,1,1,tf,0.8478,0.0,27
IRF4,GMP,0.639316,1,1,tf,0.8196,0.0,28
MEF2A,GMP,0.620987,1,1,tf,0.7961,0.0,29
GATA3,GMP,0.612501,1,1,tf,0.7853,0.0,30
TCF4,GMP,0.60091,2,1,tf,0.7682,0.0033,31
EP300,GMP,0.6,1,1,other,1.0,0.0,32
TAL1,GMP,0.593952,1,1,tf,0.7615,0.0,33
GATA1,GMP,0.58989,1,1,tf,0.7563,0.0,34
POLR2A,GMP,0.577578,1,1,other,0.9626,0.0,35
POL2,GMP,0.573183,1,1,other,0.9553,0.0,36
BCL11A,GMP,0.539371,1,1,tf,0.6915,0.0,37
SP1,GMP,0.519871,1,1,other,0.8665,0.0,38
E2F6,GMP,0.50799,1,1,other,0.8466,0.0,39
USF2,GMP,0.506149,1,1,tf,0.6489,0.0,40
FOSL2,GMP,0.50141,1,1,tf,0.6428,0.0,41
BATF,GMP,0.499893,1,1,other,0.8332,0.0,42
ELF1,GMP,0.493131,1,1,other,0.8219,0.0,43
HNF4A,GMP,0.481442,1,1,other,0.8024,0.0,44
ZNF263,GMP,0.465761,1,1,other,0.7763,0.0,45
NR3C2,GMP,0.463734,1,1,tf,0.5945,0.0,46
SIN3A,GMP,0.462856,1,1,other,0.7714,0.0,47
ESR1,GMP,0.451331,1,1,tf,0.5786,0.0,48
REST,GMP,0.450156,1,1,other,0.7503,0.0,49
TRIM28,GMP,0.447213,1,1,other,0.7454,0.0,50
MEF2C,GMP,0.436879,2,1,tf,0.56,0.0002,51
CCNT2,GMP,0.436353,1,1,other,0.7273,0.0,52
HDAC2,GMP,0.435351,1,1,other,0.7256,0.0,53
JUNB,GMP,0.427083,1,1,tf,0.5475,0.0,54
POU2F2,GMP,0.42373,1,1,other,0.7062,0.0,55
SETDB1,GMP,0.419507,1,1,other,0.6992,0.0,56
IRF1,GMP,0.4182,1,1,tf,0.5362,0.0,57
LRMDA,GMP,0.4,1,1,other,0.0,1.0,58
ZEB1,GMP,0.396939,2,1,tf,0.5066,0.0034,59
MXI1,GMP,0.392665,1,1,tf,0.5034,0.0,60
ZNF143,GMP,0.390768,1,1,other,0.6513,0.0,61
STAT1,GMP,0.38634,1,1,tf,0.4953,0.0,62
ARHGAP15,GMP,0.383836,1,1,other,0.0,0.9596,63
RFX5,GMP,0.38058,1,1,other,0.6343,0.0,64
GABPB1,GMP,0.379652,1,1,other,0.6328,0.0,65
SRT,GMP,0.374941,1,1,other,0.6249,0.0,66
TFAP2C,GMP,0.371448,1,1,other,0.6191,0.0,67
PBX3,GMP,0.364969,2,1,tf,0.4558,0.0181,68
HNF4G,GMP,0.359514,1,1,other,0.5992,0.0,69
ETV6,GMP,0.358339,1,1,tf,0.0,0.6891,70
RXRA,GMP,0.357729,1,1,other,0.5962,0.0,71
FTL,GMP,0.354491,1,1,other,0.0,0.8862,72
ZBTB7A,GMP,0.350194,1,1,other,0.5837,0.0,73
PDE4D,GMP,0.347762,1,1,other,0.0,0.8694,74
FNDC3B,GMP,0.346913,1,1,other,0.0,0.8673,75
RUNX1,GMP,0.322831,1,1,tf,0.0,0.6208,76
SIK3,GMP,0.312844,1,1,other,0.0,0.7821,77
TFAP2A,GMP,0.30783,1,1,other,0.513,0.0,78
CUX1,GMP,0.307337,1,1,tf,0.0,0.591,79
HMGN3,GMP,0.306093,1,1,other,0.5102,0.0,80
FOSL1,GMP,0.305846,1,1,tf,0.3921,0.0,81
MBNL1,GMP,0.305267,1,1,other,0.0,0.7632,82
NANOG,GMP,0.297124,1,1,other,0.4952,0.0,83
JARID2,GMP,0.289365,1,1,tf,0.0,0.5565,84
KCNQ5,GMP,0.285607,1,1,other,0.0,0.714,85
CHD2,GMP,0.281805,1,1,other,0.4697,0.0,86
E2F4,GMP,0.278796,1,1,tf,0.3574,0.0,87
ELMO1,GMP,0.274935,1,1,other,0.0,0.6873,88
ANKRD28,GMP,0.273923,1,1,other,0.0,0.6848,89
ZEB2,GMP,0.271195,1,1,tf,0.0,0.5215,90
FOXP1,GMP,0.263837,1,1,other,0.0,0.6596,91
DIAPH2,GMP,0.263482,1,1,other,0.0,0.6587,92
ZFAND3,GMP,0.261978,1,1,other,0.0,0.6549,93
TBC1D5,GMP,0.261144,1,1,other,0.0,0.6529,94
PLCB1,GMP,0.260358,1,1,other,0.0,0.6509,95
MED13L,GMP,0.248852,1,1,other,0.0,0.6221,96
GNAQ,GMP,0.248721,1,1,other,0.0,0.6218,97
CTCFL,GMP,0.247711,1,1,other,0.4129,0.0,98
ETS1,GMP,0.242604,1,1,other,0.4043,0.0,99
CHST11,GMP,0.242223,1,1,other,0.0,0.6056,100
JMJD1C,GMP,0.242089,1,1,other,0.0,0.6052,101
WWOX,GMP,0.241141,1,1,other,0.0,0.6029,102
ADK,GMP,0.240867,1,1,other,0.0,0.6022,103
CERS6,GMP,0.240145,1,1,other,0.0,0.6004,104
ATP8B4,GMP,0.240089,1,1,mitochondrial,0.0,0.8575,105
SLC39A11,GMP,0.238337,1,1,other,0.0,0.5958,106
EIF4G3,GMP,0.237418,1,1,other,0.0,0.5935,107
ATG7,GMP,0.236993,1,1,other,0.0,0.5925,108
PAN3,GMP,0.236479,1,1,other,0.0,0.5912,109
COP1,GMP,0.236419,1,1,other,0.0,0.591,110
SSH2,GMP,0.234714,1,1,other,0.0,0.5868,111
EXOC4,GMP,0.232886,1,1,other,0.0,0.5822,112
FHIT,GMP,0.230771,1,1,other,0.0,0.5769,113
BCL3,GMP,0.230534,1,1,other,0.3842,0.0,114
DPYD,GMP,0.228965,1,1,other,0.0,0.5724,115
FCHSD2,GMP,0.228534,1,1,other,0.0,0.5713,116
TAOK3,GMP,0.227043,1,1,other,0.0,0.5676,117
FTH1,GMP,0.226855,1,1,other,0.0,0.5671,118
NT5C2,GMP,0.226165,1,1,other,0.0,0.5654,119
CALR,GMP,0.225305,1,1,other,0.0,0.5633,120
DOCK8,GMP,0.220747,1,1,other,0.0,0.5519,121
SMYD3,GMP,0.220366,1,1,other,0.0,0.5509,122
EREG,GMP,0.219809,1,1,other,0.0,0.5495,123
FAF1,GMP,0.215988,1,1,other,0.0,0.54,124
ELF2,GMP,0.215562,1,1,other,0.0,0.5389,125
NFYB,GMP,0.213872,1,1,other,0.3565,0.0,126
DENND1A,GMP,0.21384,1,1,other,0.0,0.5346,127
NRF1,GMP,0.212582,1,1,other,0.3543,0.0,128
PRSS57,GMP,0.210948,1,1,other,0.0,0.5274,129
RAD51B,GMP,0.210771,1,1,other,0.0,0.5269,130
SPIDR,GMP,0.210624,1,1,other,0.0,0.5266,131
KMT2C,GMP,0.208496,1,1,other,0.0,0.5212,132
STAG1,GMP,0.20793,1,1,other,0.0,0.5198,133
GTF2F1,GMP,0.201958,1,1,other,0.3366,0.0,134
VPS13B,GMP,0.201928,1,1,other,0.0,0.5048,135
SMARCB1,GMP,0.201865,1,1,other,0.3364,0.0,136
RERE,GMP,0.201408,1,1,other,0.0,0.5035,137
PRDM1,GMP,0.200272,1,1,tf,0.2568,0.0,138
MCU,GMP,0.19932,1,1,other,0.0,0.4983,139
TAF7,GMP,0.199318,1,1,other,0.3322,0.0,140
BCLAF1,GMP,0.19922,1,1,other,0.332,0.0,141
ATF3,GMP,0.197826,1,1,other,0.3297,0.0,142
ANTXR2,GMP,0.19746,1,1,other,0.0,0.4936,143
PRTN3,GMP,0.19595,1,1,other,0.0,0.4899,144
TTTY14,GMP,0.194174,1,1,other,0.0,0.4854,145
ARID1B,GMP,0.194016,1,1,other,0.0,0.485,146
UTRN,GMP,0.193977,1,1,other,0.0,0.4849,147
ATP2B1,GMP,0.193002,1,1,other,0.0,0.4825,148
ZBTB20,GMP,0.192745,1,1,other,0.0,0.4819,149
CDKAL1,GMP,0.192204,1,1,other,0.0,0.4805,150
DNAJC1,GMP,0.191284,1,1,other,0.0,0.4782,151
STXBP5,GMP,0.190433,1,1,other,0.0,0.4761,152
AUTS2,GMP,0.190285,1,1,other,0.0,0.4757,153
MIR924HG,GMP,0.189669,1,1,other,0.0,0.4742,154
PPP3R1,GMP,0.188541,1,1,other,0.0,0.4714,155
RALGAPA2,GMP,0.188098,1,1,other,0.0,0.4702,156
RNF24,GMP,0.186376,1,1,other,0.0,0.4659,157
DLEU2,GMP,0.183374,1,1,other,0.0,0.4584,158
NFYA,GMP,0.182579,1,1,other,0.3043,0.0,159
UVRAG,GMP,0.182329,1,1,other,0.0,0.4558,160
ARHGAP26,GMP,0.182051,1,1,other,0.0,0.4551,161
CENPP,GMP,0.181833,1,1,other,0.0,0.4546,162
NSMCE2,GMP,0.180042,1,1,other,0.0,0.4501,163
GTF2B,GMP,0.178847,1,1,other,0.2981,0.0,164
INPP5D,GMP,0.177863,1,1,other,0.0,0.4447,165
LRBA,GMP,0.177796,1,1,other,0.0,0.4445,166
CDK14,GMP,0.177488,1,1,other,0.0,0.4437,167
BRAF,GMP,0.177368,1,1,other,0.0,0.4434,168
VAV3,GMP,0.17732,1,1,other,0.0,0.4433,169
PICALM,GMP,0.177102,1,1,other,0.0,0.4428,170
FOXN3,GMP,0.176538,1,1,other,0.0,0.4413,171
CDC42SE2,GMP,0.17604,1,1,other,0.0,0.4401,172
MCTP1,GMP,0.175075,1,1,other,0.0,0.4377,173
SSBP2,GMP,0.173896,1,1,other,0.0,0.4347,174
MAML3,GMP,0.173639,1,1,other,0.0,0.4341,175
MAN1A1,GMP,0.17353,1,1,other,0.0,0.4338,176
RAB11FIP1,GMP,0.173431,1,1,other,0.0,0.4336,177
MAP3K5,GMP,0.173401,1,1,other,0.0,0.4335,178
DOCK5,GMP,0.17326,1,1,other,0.0,0.4331,179
ANKRD17,GMP,0.17323,1,1,other,0.0,0.4331,180
ASAP1,GMP,0.171624,1,1,other,0.0,0.4291,181
MSRB3,GMP,0.171072,1,1,other,0.0,0.4277,182
LYN,GMP,0.169677,1,1,other,0.0,0.4242,183
DENND4A,GMP,0.169528,1,1,other,0.0,0.4238,184
STAT2,GMP,0.166311,1,1,tf,0.2132,0.0,185
BRCA1,GMP,0.149641,1,1,other,0.2494,0.0,186
NFE2,GMP,0.149466,1,1,tf,0.1916,0.0,187
RPS2,GMP,0.147276,1,1,ribosomal,0.0,0.6694,188
SIX5,GMP,0.142646,1,1,other,0.2377,0.0,189
POU5F1,GMP,0.141104,1,1,other,0.2352,0.0,190
DEFA3,GMP,0.137131,1,1,other,0.0,0.3428,191
ELK4,GMP,0.135241,1,1,other,0.2254,0.0,192
BHLHE40,GMP,0.132789,1,1,other,0.2213,0.0,193
SMARCC1,GMP,0.130798,1,1,other,0.218,0.0,194
ZBTB33,GMP,0.112983,1,1,other,0.1883,0.0,195
NR2C2,GMP,0.105028,1,1,other,0.175,0.0,196
SIRT6,GMP,0.095966,1,1,other,0.1599,0.0,197
CTBP2,GMP,0.094051,1,1,other,0.1568,0.0,198
SMARCA4,GMP,0.09059,1,1,other,0.151,0.0,199
SP2,GMP,0.087414,1,1,other,0.1457,0.0,200
SUZ12,GMP,0.07758,1,1,tf,0.0995,0.0,201
POLR3A,GMP,0.07195,1,1,other,0.1199,0.0,202
BRF2,GMP,0.066476,1,1,other,0.1108,0.0,203
SRGN,GMP,0.064889,1,1,other,0.0,0.1622,204
IRF3,GMP,0.06441,1,1,tf,0.0826,0.0,205
ZZZ3,GMP,0.058107,1,1,other,0.0968,0.0,206
SREBF1,GMP,0.058025,1,1,other,0.0967,0.0,207
HBB,GMP,0.056052,1,1,hemoglobin,0.0,0.3114,208
WHIP,GMP,0.052839,1,1,other,0.0881,0.0,209
DEFA4,GMP,0.052097,1,1,other,0.0,0.1302,210
SMARCC2,GMP,0.051666,1,1,other,0.0861,0.0,211
ZNF274,GMP,0.041397,1,1,other,0.069,0.0,212
THAP1,GMP,0.039894,1,1,other,0.0665,0.0,213
RDBP,GMP,0.038919,1,1,other,0.0649,0.0,214
HBA2,GMP,0.038766,1,1,hemoglobin,0.0,0.2154,215
ESRRA,GMP,0.037983,1,1,other,0.0633,0.0,216
HSF1,GMP,0.023258,1,1,other,0.0388,0.0,217
FAM48A,GMP,0.017998,1,1,other,0.03,0.0,218
HDAC8,GMP,0.017111,2,1,other,0.0275,0.0015,219
KAT2A,GMP,0.013713,1,1,other,0.0229,0.0,220
PPARGC1A,GMP,0.013707,1,1,other,0.0228,0.0,221
NR3C1,GMP,0.013478,1,1,tf,0.0173,0.0,222
HBA1,GMP,0.012191,1,1,hemoglobin,0.0,0.0677,223
HSPA1B,GMP,0.012045,1,1,other,0.0,0.0301,224
BDP1,GMP,0.011109,1,1,other,0.0185,0.0,225
ATP5F1E,GMP,0.009765,1,1,other,0.0,0.0244,226
ERG,GMP,0.009337,1,1,tf,0.0,0.018,227
LYST,GMP,0.008384,1,1,other,0.0,0.021,228
MIR181A1HG,GMP,0.008382,1,1,other,0.0,0.021,229
CD74,GMP,0.008341,1,1,other,0.0,0.0209,230
RABGAP1L,GMP,0.008307,1,1,other,0.0,0.0208,231
NCOA1,GMP,0.008287,1,1,other,0.0,0.0207,232
AGTPBP1,GMP,0.008099,1,1,other,0.0,0.0202,233
CDK6,GMP,0.008087,1,1,other,0.0,0.0202,234
FAM172A,GMP,0.007953,1,1,other,0.0,0.0199,235
SYK,GMP,0.007852,1,1,other,0.0,0.0196,236
SCMH1,GMP,0.007786,1,1,other,0.0,0.0195,237
IMMP2L,GMP,0.00767,1,1,other,0.0,0.0192,238
DYRK1A,GMP,0.007664,1,1,other,0.0,0.0192,239
S100A6,GMP,0.007628,1,1,other,0.0,0.0191,240
ESYT2,GMP,0.007438,1,1,other,0.0,0.0186,241
PTBP2,GMP,0.007422,1,1,other,0.0,0.0186,242
DACH1,GMP,0.007361,1,1,other,0.0,0.0184,243
ARIH1,GMP,0.00736,1,1,other,0.0,0.0184,244
KDM6A,GMP,0.007256,1,1,other,0.0,0.0181,245
S100A11,GMP,0.007213,1,1,other,0.0,0.018,246
PCNX1,GMP,0.007208,1,1,other,0.0,0.018,247
MCTP2,GMP,0.007166,1,1,other,0.0,0.0179,248
RFX3,GMP,0.007149,1,1,other,0.0,0.0179,249
NR4A1,GMP,0.007139,1,1,other,0.0119,0.0,250
WDFY2,GMP,0.007084,1,1,other,0.0,0.0177,251
LYZ,GMP,0.006895,1,1,other,0.0,0.0172,252
CTSD,GMP,0.006853,1,1,other,0.0,0.0171,253
GAB2,GMP,0.006837,1,1,other,0.0,0.0171,254
ERC1,GMP,0.006828,1,1,other,0.0,0.0171,255
VMP1,GMP,0.006826,1,1,other,0.0,0.0171,256
MPO,GMP,0.006734,1,1,other,0.0,0.0168,257
RELL1,GMP,0.006618,1,1,other,0.0,0.0165,258
HIPK3,GMP,0.006491,1,1,other,0.0,0.0162,259
FNIP1,GMP,0.006467,1,1,other,0.0,0.0162,260
RREB1,GMP,0.006375,1,1,other,0.0,0.0159,261
S100A12,GMP,0.006233,1,1,other,0.0,0.0156,262
NEAT1,GMP,0.006232,1,1,other,0.0,0.0156,263
ITPR2,GMP,0.006171,1,1,other,0.0,0.0154,264
DOCK10,GMP,0.005966,1,1,other,0.0,0.0149,265
FBXL17,GMP,0.005788,1,1,other,0.0,0.0145,266
PPP3CA,GMP,0.005762,1,1,other,0.0,0.0144,267
MS4A3,GMP,0.005717,1,1,other,0.0,0.0143,268
SLC22A15,GMP,0.005676,1,1,other,0.0,0.0142,269
VTI1A,GMP,0.005591,1,1,other,0.0,0.014,270
RNF220,GMP,0.005589,1,1,other,0.0,0.014,271
TRIO,GMP,0.005588,1,1,other,0.0,0.014,272
FTX,GMP,0.005562,1,1,other,0.0,0.0139,273
DENND5A,GMP,0.005562,1,1,other,0.0,0.0139,274
NCOA2,GMP,0.005551,1,1,other,0.0,0.0139,275
P2RY8,GMP,0.005422,1,1,other,0.0,0.0136,276
IRAK3,GMP,0.005373,1,1,other,0.0,0.0134,277
RPS29,GMP,0.005359,1,1,ribosomal,0.0,0.0244,278
KANSL1,GMP,0.005358,1,1,other,0.0,0.0134,279
ATXN1,GMP,0.005355,1,1,other,0.0,0.0134,280
ZCCHC7,GMP,0.005272,1,1,other,0.0,0.0132,281
SNTB1,GMP,0.005178,1,1,other,0.0,0.0129,282
RPL7,GMP,0.005147,1,1,ribosomal,0.0,0.0234,283
COG5,GMP,0.00513,1,1,other,0.0,0.0128,284
IGKC,GMP,0.004967,1,1,immunoglobulin,0.0,0.0226,285
FNDC3A,GMP,0.004884,1,1,other,0.0,0.0122,286
ZNF609,GMP,0.004707,1,1,other,0.0,0.0118,287
GSTP1,GMP,0.004692,1,1,other,0.0,0.0117,288
TRAPPC9,GMP,0.00469,1,1,other,0.0,0.0117,289
MNDA,GMP,0.004684,1,1,other,0.0,0.0117,290
HSPA1A,GMP,0.004673,1,1,other,0.0,0.0117,291
LINC01572,GMP,0.004659,1,1,other,0.0,0.0116,292
SGK3,GMP,0.004656,1,1,other,0.0,0.0116,293
MAPK14,GMP,0.004574,1,1,other,0.0,0.0114,294
CEP170,GMP,0.00457,1,1,other,0.0,0.0114,295
RFX2,GMP,0.004468,1,1,other,0.0,0.0112,296
MSI2,GMP,0.004358,1,1,other,0.0,0.0109,297
ARID2,GMP,0.004355,1,1,other,0.0,0.0109,298
PTPRJ,GMP,0.004315,1,1,other,0.0,0.0108,299
TAFA2,GMP,0.004312,1,1,other,0.0,0.0108,300
BAZ2B,GMP,0.004246,1,1,other,0.0,0.0106,301
XYLT1,GMP,0.004164,1,1,other,0.0,0.0104,302
SLCO3A1,GMP,0.004025,1,1,other,0.0,0.0101,303
HERC1,GMP,0.003975,1,1,other,0.0,0.0099,304
