gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
TCF12,HSPC,0.914355,2,1,tf,0.7556,0.625,1
MAFK,HSPC,0.78,1,1,tf,1,0,2
MAFF,HSPC,0.75578,1,1,tf,0.9689,0,3
YY1,HSPC,0.754718,1,1,tf,0.9676,0,4
JUND,HSPC,0.749236,2,1,tf,0.9467,0.0208,5
FOS,HSPC,0.748675,2,1,tf,0.9381,0.0326,6
SPI1,HSPC,0.744909,1,1,tf,0.955,0,7
TCF4,HSPC,0.744442,2,1,tf,0.7702,0.2764,8
CEBPB,HSPC,0.744411,1,1,tf,0.9544,0,9
FOXA1,HSPC,0.738851,1,1,tf,0.9472,0,10
CTCF,HSPC,0.735448,1,1,tf,0.9429,0,11
RAD21,HSPC,0.728294,1,1,tf,0.9337,0,12
JUN,HSPC,0.726261,2,1,tf,0.9157,0.0231,13
GATA2,HSPC,0.721489,2,1,tf,0.9249,0.0001,14
FOXA2,HSPC,0.710404,1,1,tf,0.9108,0,15
STAT3,HSPC,0.701351,1,1,tf,0.8992,0,16
USF1,HSPC,0.700094,1,1,tf,0.8976,0,17
TAF1,HSPC,0.686463,1,1,tf,0.8801,0,18
SMC3,HSPC,0.675363,1,1,tf,0.8659,0,19
TBP,HSPC,0.670747,1,1,tf,0.8599,0,20
NFKB1,HSPC,0.658243,1,1,tf,0.8439,0,21
EBF1,HSPC,0.647848,1,1,tf,0.8306,0,22
MAX,HSPC,0.636414,1,1,tf,0.8159,0,23
MEF2A,HSPC,0.633037,1,1,tf,0.8116,0,24
BCL11A,HSPC,0.622782,2,1,tf,0.7954,0.0045,25
PAX5,HSPC,0.619147,1,1,tf,0.7938,0,26
GATA1,HSPC,0.607035,1,1,tf,0.7783,0,27
EGR1,HSPC,0.600282,2,1,tf,0.7624,0.0108,28
TAL1,HSPC,0.596503,1,1,tf,0.7647,0,29
HEY1,HSPC,0.581493,1,1,tf,0.7455,0,30
MYC,HSPC,0.577441,1,1,tf,0.7403,0,31
GATA3,HSPC,0.575375,1,1,tf,0.7377,0,32
EP300,HSPC,0.559974,1,1,other,0.9333,0,33
IRF4,HSPC,0.553487,1,1,tf,0.7096,0,34
POLR2A,HSPC,0.548588,1,1,other,0.9143,0,35
E2F1,HSPC,0.538255,1,1,tf,0.6901,0,36
PBX3,HSPC,0.532756,2,1,tf,0.3793,0.4556,37
SP1,HSPC,0.531057,1,1,other,0.8851,0,38
SETDB1,HSPC,0.52795,1,1,other,0.8799,0,39
POL2,HSPC,0.517824,1,1,other,0.863,0,40
BATF,HSPC,0.511565,1,1,other,0.8526,0,41
USF2,HSPC,0.508179,1,1,tf,0.6515,0,42
TRIM28,HSPC,0.507115,1,1,other,0.8452,0,43
ESR1,HSPC,0.503199,2,1,tf,0.6442,0.0014,44
FOSL2,HSPC,0.497566,1,1,tf,0.6379,0,45
NR3C2,HSPC,0.496558,2,1,tf,0.6365,0.0001,46
ZEB1,HSPC,0.473368,2,1,tf,0.3519,0.3825,47
HNF4A,HSPC,0.472293,1,1,other,0.7872,0,48
ELF1,HSPC,0.471971,1,1,other,0.7866,0,49
HDAC2,HSPC,0.456751,1,1,other,0.7613,0,50
REST,HSPC,0.447949,1,1,other,0.7466,0,51
MEF2C,HSPC,0.429674,2,1,tf,0.543,0.0118,52
ZNF263,HSPC,0.427702,1,1,other,0.7128,0,53
STAT1,HSPC,0.421702,1,1,tf,0.5406,0,54
JUNB,HSPC,0.404251,1,1,tf,0.5183,0,55
ELMO1,HSPC,0.4,1,1,other,0,1,56
E2F6,HSPC,0.39817,1,1,other,0.6636,0,57
RUNX1,HSPC,0.394776,1,1,tf,0,0.7592,58
