gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
CEBPB,MEP,0.78,1,1,tf,1.0,0.0,1
MAFK,MEP,0.743397,1,1,tf,0.9531,0.0,2
CTCF,MEP,0.742782,1,1,tf,0.9523,0.0,3
GATA2,MEP,0.739515,2,1,tf,0.9469,0.0018,4
FOXA1,MEP,0.737262,1,1,tf,0.9452,0.0,5
YY1,MEP,0.722038,1,1,tf,0.9257,0.0,6
USF1,MEP,0.716726,1,1,tf,0.9189,0.0,7
JUND,MEP,0.714366,2,1,tf,0.9094,0.0096,8
RAD21,MEP,0.713455,1,1,tf,0.9147,0.0,9
TAF1,MEP,0.712842,1,1,tf,0.9139,0.0,10
FOS,MEP,0.702509,2,1,tf,0.8986,0.0031,11
SPI1,MEP,0.699509,1,1,tf,0.8968,0.0,12
TBP,MEP,0.68343,1,1,tf,0.8762,0.0,13
STAT3,MEP,0.665821,1,1,tf,0.8536,0.0,14
SMC3,MEP,0.656852,1,1,tf,0.8421,0.0,15
JUN,MEP,0.639217,1,1,tf,0.8195,0.0,16
FOXA2,MEP,0.616889,1,1,tf,0.7909,0.0,17
EGR1,MEP,0.611521,1,1,tf,0.784,0.0,18
MAFF,MEP,0.598052,1,1,tf,0.7667,0.0,19
EP300,MEP,0.59242,1,1,other,0.9874,0.0,20
MYC,MEP,0.588544,1,1,tf,0.7545,0.0,21
HEY1,MEP,0.587105,1,1,tf,0.7527,0.0,22
POLR2A,MEP,0.579013,1,1,other,0.965,0.0,23
POL2,MEP,0.576867,1,1,other,0.9614,0.0,24
TCF4,MEP,0.576088,2,1,tf,0.7377,0.0014,25
E2F1,MEP,0.572576,1,1,tf,0.7341,0.0,26
MAX,MEP,0.568951,1,1,tf,0.7294,0.0,27
GATA1,MEP,0.567435,2,1,tf,0.726,0.0022,28
GATA3,MEP,0.547871,1,1,tf,0.7024,0.0,29
PAX5,MEP,0.538805,1,1,tf,0.6908,0.0,30
USF2,MEP,0.498026,1,1,tf,0.6385,0.0,31
EBF1,MEP,0.497484,1,1,tf,0.6378,0.0,32
SP1,MEP,0.489485,1,1,other,0.8158,0.0,33
NFKB1,MEP,0.488522,1,1,tf,0.6263,0.0,34
NR3C2,MEP,0.468534,1,1,tf,0.6007,0.0,35
TCF12,MEP,0.465493,2,1,tf,0.5872,0.0144,36
TAL1,MEP,0.464762,1,1,tf,0.5958,0.0,37
ELF1,MEP,0.456474,1,1,other,0.7608,0.0,38
ESR1,MEP,0.419621,1,1,tf,0.538,0.0,39
REST,MEP,0.416477,1,1,other,0.6941,0.0,40
E2F6,MEP,0.414418,1,1,other,0.6907,0.0,41
