gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
USF1,Monocyte,0.78,1,1,tf,1.0,0.0,1
CEBPB,Monocyte,0.775279,1,1,tf,0.9939,0.0,2
CTCF,Monocyte,0.767302,1,1,tf,0.9837,0.0,3
MAFK,Monocyte,0.744592,1,1,tf,0.9546,0.0,4
TAF1,Monocyte,0.740454,1,1,tf,0.9493,0.0,5
JUND,Monocyte,0.736625,2,1,tf,0.9364,0.0119,6
GATA2,Monocyte,0.735446,1,1,tf,0.9429,0.0,7
SPI1,Monocyte,0.727833,1,1,tf,0.9331,0.0,8
TBP,Monocyte,0.726497,1,1,tf,0.9314,0.0,9
STAT3,Monocyte,0.711229,1,1,tf,0.9118,0.0,10
RAD21,Monocyte,0.710395,1,1,tf,0.9108,0.0,11
FOXA1,Monocyte,0.706295,1,1,tf,0.9055,0.0,12
FOS,Monocyte,0.679796,2,1,tf,0.8676,0.006,13
MAX,Monocyte,0.677264,1,1,tf,0.8683,0.0,14
YY1,Monocyte,0.665782,1,1,tf,0.8536,0.0,15
MAFF,Monocyte,0.659611,1,1,tf,0.8457,0.0,16
SMC3,Monocyte,0.649392,1,1,tf,0.8326,0.0,17
EBF1,Monocyte,0.646242,1,1,tf,0.8285,0.0,18
JUN,Monocyte,0.638151,1,1,tf,0.8181,0.0,19
GATA3,Monocyte,0.609917,1,1,tf,0.7819,0.0,20
NFKB1,Monocyte,0.607053,1,1,tf,0.7783,0.0,21
NR3C2,Monocyte,0.60504,1,1,tf,0.7757,0.0,22
HEY1,Monocyte,0.595638,1,1,tf,0.7636,0.0,23
USF2,Monocyte,0.593321,1,1,tf,0.7607,0.0,24
FOXA2,Monocyte,0.591446,1,1,tf,0.7583,0.0,25
MYC,Monocyte,0.591066,1,1,tf,0.7578,0.0,26
E2F1,Monocyte,0.590241,1,1,tf,0.7567,0.0,27
POL2,Monocyte,0.583654,1,1,other,0.9728,0.0,28
PAX5,Monocyte,0.581496,1,1,tf,0.7455,0.0,29
TCF4,Monocyte,0.569596,1,1,tf,0.7303,0.0,30
POLR2A,Monocyte,0.558738,1,1,other,0.9312,0.0,31
