gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
JUND,NK,0.78,1,1,tf,1.0,0.0,1
YY1,NK,0.762781,1,1,tf,0.9779,0.0,2
FOXA1,NK,0.750707,1,1,tf,0.9624,0.0,3
CTCF,NK,0.738326,1,1,tf,0.9466,0.0,4
TAF1,NK,0.737137,1,1,tf,0.945,0.0,5
STAT3,NK,0.72776,1,1,tf,0.933,0.0,6
USF1,NK,0.723308,1,1,tf,0.9273,0.0,7
NFKB1,NK,0.718628,1,1,tf,0.9213,0.0,8
EGR1,NK,0.715687,1,1,tf,0.9175,0.0,9
FOXA2,NK,0.713967,1,1,tf,0.9153,0.0,10
MAX,NK,0.712767,1,1,tf,0.9138,0.0,11
CEBPB,NK,0.705244,1,1,tf,0.9042,0.0,12
SPI1,NK,0.705244,1,1,tf,0.9042,0.0,13
RAD21,NK,0.704235,1,1,tf,0.9029,0.0,14
SMC3,NK,0.690926,1,1,tf,0.8858,0.0,15
GATA2,NK,0.689314,1,1,tf,0.8837,0.0,16
MAFK,NK,0.68897,1,1,tf,0.8833,0.0,17
PAX5,NK,0.683478,1,1,tf,0.8763,0.0,18
GATA3,NK,0.660053,1,1,tf,0.8462,0.0,19
JUN,NK,0.654332,1,1,tf,0.8389,0.0,20
EBF1,NK,0.652137,1,1,tf,0.8361,0.0,21
TBP,NK,0.651292,1,1,tf,0.835,0.0,22
GATA1,NK,0.647967,1,1,tf,0.8307,0.0,23
MYC,NK,0.641186,1,1,tf,0.822,0.0,24
FOS,NK,0.627162,1,1,tf,0.8041,0.0,25
TCF4,NK,0.625018,1,1,tf,0.8013,0.0,26
USF2,NK,0.617524,1,1,tf,0.7917,0.0,27
MAFF,NK,0.608759,1,1,tf,0.7805,0.0,28
TCF12,NK,0.602804,1,1,tf,0.7728,0.0,29
BCL11A,NK,0.597666,1,1,tf,0.7662,0.0,30
ELF1,NK,0.579983,1,1,other,0.9666,0.0,31
E2F1,NK,0.573816,1,1,tf,0.7357,0.0,32
POL2,NK,0.567943,1,1,other,0.9466,0.0,33
NR3C2,NK,0.564526,1,1,tf,0.7238,0.0,34
MEF2A,NK,0.551198,1,1,tf,0.7067,0.0,35
TAL1,NK,0.536876,1,1,tf,0.6883,0.0,36
HEY1,NK,0.536705,1,1,tf,0.6881,0.0,37
REST,NK,0.534849,1,1,other,0.8914,0.0,38
EP300,NK,0.525752,1,1,other,0.8763,0.0,39
SRT,NK,0.521358,1,1,other,0.8689,0.0,40
IRF4,NK,0.518872,1,1,tf,0.6652,0.0,41
SP1,NK,0.509308,1,1,other,0.8488,0.0,42
POLR2A,NK,0.501132,1,1,other,0.8352,0.0,43
BATF,NK,0.499068,1,1,other,0.8318,0.0,44
HNF4A,NK,0.486037,1,1,other,0.8101,0.0,45
E2F6,NK,0.484298,1,1,other,0.8072,0.0,46
FOSL2,NK,0.480937,1,1,tf,0.6166,0.0,47
POU2F2,NK,0.473005,1,1,other,0.7883,0.0,48
ZNF263,NK,0.466607,1,1,other,0.7777,0.0,49
STAT1,NK,0.465836,1,1,tf,0.5972,0.0,50
SETDB1,NK,0.452607,1,1,other,0.7543,0.0,51
TRIM28,NK,0.445508,1,1,other,0.7425,0.0,52
MEF2C,NK,0.444771,1,1,tf,0.5702,0.0,53
ZNF143,NK,0.434209,1,1,other,0.7237,0.0,54
GABPB1,NK,0.432798,1,1,other,0.7213,0.0,55
RFX5,NK,0.430217,1,1,other,0.717,0.0,56
SIN3A,NK,0.427856,1,1,other,0.7131,0.0,57
HDAC2,NK,0.415433,1,1,other,0.6924,0.0,58
ESR1,NK,0.411293,1,1,tf,0.5273,0.0,59
RXRA,NK,0.406963,1,1,other,0.6783,0.0,60
DUSP2,NK,0.4,1,1,other,0.0,1.0,61
NANOG,NK,0.387717,1,1,other,0.6462,0.0,62
JUNB,NK,0.382084,1,1,tf,0.4899,0.0,63
MT2A,NK,0.381019,1,1,other,0.0,0.9525,64
TFAP2C,NK,0.373736,1,1,other,0.6229,0.0,65
FOSL1,NK,0.372519,1,1,tf,0.4776,0.0,66
HNF4G,NK,0.371768,1,1,other,0.6196,0.0,67
CCNT2,NK,0.367278,1,1,other,0.6121,0.0,68
MXI1,NK,0.355116,1,1,tf,0.4553,0.0,69
PBX3,NK,0.352456,1,1,tf,0.4519,0.0,70
IRF1,NK,0.350226,1,1,tf,0.449,0.0,71
ZEB1,NK,0.335363,1,1,tf,0.43,0.0,72
TFAP2A,NK,0.331724,1,1,other,0.5529,0.0,73
HMGN3,NK,0.32273,1,1,other,0.5379,0.0,74
ZBTB7A,NK,0.316222,1,1,other,0.527,0.0,75
BCL3,NK,0.30629,1,1,other,0.5105,0.0,76
PRDM1,NK,0.305754,1,1,tf,0.392,0.0,77
CTCFL,NK,0.302258,1,1,other,0.5038,0.0,78
CHD2,NK,0.298431,1,1,other,0.4974,0.0,79
AREG,NK,0.280256,1,1,other,0.0,0.7006,80
TRGV9,NK,0.268825,1,1,other,0.0,0.6721,81
NRF1,NK,0.259038,1,1,other,0.4317,0.0,82
TRDV2,NK,0.253958,1,1,other,0.0,0.6349,83
GTF2F1,NK,0.252056,1,1,other,0.4201,0.0,84
SMARCB1,NK,0.246558,1,1,other,0.4109,0.0,85
NFYB,NK,0.241993,1,1,other,0.4033,0.0,86
BCLAF1,NK,0.238993,1,1,other,0.3983,0.0,87
STAT2,NK,0.232438,1,1,tf,0.298,0.0,88
ETS1,NK,0.228602,1,1,other,0.381,0.0,89
NFYA,NK,0.220156,1,1,other,0.3669,0.0,90
TAF7,NK,0.211604,1,1,other,0.3527,0.0,91
E2F4,NK,0.207479,1,1,tf,0.266,0.0,92
BRCA1,NK,0.203598,1,1,other,0.3393,0.0,93
ATF3,NK,0.201401,1,1,other,0.3357,0.0,94
GTF2B,NK,0.198552,1,1,other,0.3309,0.0,95
POU5F1,NK,0.198064,1,1,other,0.3301,0.0,96
SMARCC1,NK,0.195091,1,1,other,0.3252,0.0,97
ZBTB33,NK,0.180691,1,1,other,0.3012,0.0,98
NFE2,NK,0.17528,1,1,tf,0.2247,0.0,99
BHLHE40,NK,0.162673,1,1,other,0.2711,0.0,100
ELK4,NK,0.161027,1,1,other,0.2684,0.0,101
SMARCA4,NK,0.155864,1,1,other,0.2598,0.0,102
SIX5,NK,0.151315,1,1,other,0.2522,0.0,103
NR2C2,NK,0.124415,1,1,other,0.2074,0.0,104
THAP1,NK,0.120961,1,1,other,0.2016,0.0,105
BRF2,NK,0.119757,1,1,other,0.1996,0.0,106
SP2,NK,0.103654,1,1,other,0.1728,0.0,107
ZZZ3,NK,0.099497,1,1,other,0.1658,0.0,108
SUZ12,NK,0.097732,1,1,tf,0.1253,0.0,109
SIRT6,NK,0.093284,1,1,other,0.1555,0.0,110
CTBP2,NK,0.086998,1,1,other,0.145,0.0,111
POLR3A,NK,0.086998,1,1,other,0.145,0.0,112
SMARCC2,NK,0.086998,1,1,other,0.145,0.0,113
RDBP,NK,0.075179,1,1,other,0.1253,0.0,114
WHIP,NK,0.068771,1,1,other,0.1146,0.0,115
IRF3,NK,0.061688,1,1,tf,0.0791,0.0,116
NR3C1,NK,0.061638,1,1,tf,0.079,0.0,117
HSF1,NK,0.047453,1,1,other,0.0791,0.0,118
ZNF274,NK,0.044469,1,1,other,0.0741,0.0,119
SREBF1,NK,0.034502,1,1,other,0.0575,0.0,120
HBA2,NK,0.033245,1,1,hemoglobin,0.0,0.1847,121
PPARGC1A,NK,0.032097,1,1,other,0.0535,0.0,122
KAT2A,NK,0.028362,1,1,other,0.0473,0.0,123
HBB,NK,0.026456,1,1,hemoglobin,0.0,0.147,124
ESRRA,NK,0.023309,1,1,other,0.0388,0.0,125
BDP1,NK,0.022202,1,1,other,0.037,0.0,126
BRF1,NK,0.018879,1,1,other,0.0315,0.0,127
IGKC,NK,0.017537,1,1,immunoglobulin,0.0,0.0797,128
HBA1,NK,0.017071,1,1,hemoglobin,0.0,0.0948,129
FCER1G,NK,0.014814,1,1,other,0.0,0.037,130
FAM48A,NK,0.009762,1,1,other,0.0163,0.0,131
NR4A1,NK,0.009762,1,1,other,0.0163,0.0,132
XRCC4,NK,0.009398,1,1,other,0.0157,0.0,133
POLR3G,NK,0.009398,1,1,other,0.0157,0.0,134
