gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
CEBPB,Neutrophil,0.78,1,1,tf,1.0,0.0,1
JUND,Neutrophil,0.776004,1,1,tf,0.9949,0.0,2
SPI1,Neutrophil,0.740961,2,1,tf,0.9488,0.0018,3
STAT3,Neutrophil,0.739059,1,1,tf,0.9475,0.0,4
RAD21,Neutrophil,0.737202,1,1,tf,0.9451,0.0,5
FOXA1,Neutrophil,0.732231,1,1,tf,0.9388,0.0,6
CTCF,Neutrophil,0.73218,1,1,tf,0.9387,0.0,7
GATA2,Neutrophil,0.728229,1,1,tf,0.9336,0.0,8
YY1,Neutrophil,0.726683,1,1,tf,0.9316,0.0,9
MAFK,Neutrophil,0.719486,1,1,tf,0.9224,0.0,10
JUN,Neutrophil,0.713016,1,1,tf,0.9141,0.0,11
TAF1,Neutrophil,0.709099,1,1,tf,0.9091,0.0,12
PAX5,Neutrophil,0.702733,1,1,tf,0.9009,0.0,13
FOS,Neutrophil,0.702129,2,1,tf,0.894,0.0092,14
USF1,Neutrophil,0.690959,1,1,tf,0.8858,0.0,15
SMC3,Neutrophil,0.688545,1,1,tf,0.8827,0.0,16
TBP,Neutrophil,0.683949,1,1,tf,0.8769,0.0,17
EGR1,Neutrophil,0.671938,1,1,tf,0.8615,0.0,18
MYC,Neutrophil,0.670682,1,1,tf,0.8598,0.0,19
MAFF,Neutrophil,0.660534,1,1,tf,0.8468,0.0,20
MAX,Neutrophil,0.645474,1,1,tf,0.8275,0.0,21
NFKB1,Neutrophil,0.640763,1,1,tf,0.8215,0.0,22
HEY1,Neutrophil,0.637433,1,1,tf,0.8172,0.0,23
FOXA2,Neutrophil,0.635099,1,1,tf,0.8142,0.0,24
EBF1,Neutrophil,0.631122,1,1,tf,0.8091,0.0,25
MEF2A,Neutrophil,0.626096,1,1,tf,0.8027,0.0,26
GATA1,Neutrophil,0.610066,1,1,tf,0.7821,0.0,27
E2F1,Neutrophil,0.607625,1,1,tf,0.779,0.0,28
TAL1,Neutrophil,0.595768,1,1,tf,0.7638,0.0,29
GATA3,Neutrophil,0.588394,1,1,tf,0.7544,0.0,30
TCF12,Neutrophil,0.586029,2,1,tf,0.7508,0.0008,31
TCF4,Neutrophil,0.574192,1,1,tf,0.7361,0.0,32
POL2,Neutrophil,0.572829,1,1,other,0.9547,0.0,33
POLR2A,Neutrophil,0.567634,1,1,other,0.9461,0.0,34
EP300,Neutrophil,0.560676,1,1,other,0.9345,0.0,35
IRF4,Neutrophil,0.559294,1,1,tf,0.717,0.0,36
ELF1,Neutrophil,0.525744,1,1,other,0.8762,0.0,37
SP1,Neutrophil,0.524444,1,1,other,0.8741,0.0,38
NR3C2,Neutrophil,0.518702,1,1,tf,0.665,0.0,39
TRIM28,Neutrophil,0.51127,1,1,other,0.8521,0.0,40
USF2,Neutrophil,0.510211,1,1,tf,0.6541,0.0,41
REST,Neutrophil,0.495965,1,1,other,0.8266,0.0,42
E2F6,Neutrophil,0.493942,1,1,other,0.8232,0.0,43
BCL11A,Neutrophil,0.48339,1,1,tf,0.6197,0.0,44
BATF,Neutrophil,0.472864,1,1,other,0.7881,0.0,45
ZNF263,Neutrophil,0.454951,1,1,other,0.7583,0.0,46
FOSL2,Neutrophil,0.454462,1,1,tf,0.5826,0.0,47
CCNT2,Neutrophil,0.447063,1,1,other,0.7451,0.0,48
HDAC2,Neutrophil,0.442719,1,1,other,0.7379,0.0,49
SIN3A,Neutrophil,0.420954,1,1,other,0.7016,0.0,50
HNF4A,Neutrophil,0.419348,1,1,other,0.6989,0.0,51
STAT1,Neutrophil,0.416227,1,1,tf,0.5336,0.0,52
POU2F2,Neutrophil,0.408667,1,1,other,0.6811,0.0,53
MEF2C,Neutrophil,0.40297,1,1,tf,0.5166,0.0,54
MXI1,Neutrophil,0.401034,1,1,tf,0.5141,0.0,55
SETDB1,Neutrophil,0.400652,1,1,other,0.6678,0.0,56
RFX5,Neutrophil,0.400287,1,1,other,0.6671,0.0,57
ARHGAP15,Neutrophil,0.4,1,1,other,0.0,1.0,58
ZNF143,Neutrophil,0.385881,1,1,other,0.6431,0.0,59
GABPB1,Neutrophil,0.385732,1,1,other,0.6429,0.0,60
IRF1,Neutrophil,0.38274,1,1,tf,0.4907,0.0,61
SRT,Neutrophil,0.381852,1,1,other,0.6364,0.0,62
ESR1,Neutrophil,0.37805,1,1,tf,0.4847,0.0,63
ZBTB7A,Neutrophil,0.376974,1,1,other,0.6283,0.0,64
JUNB,Neutrophil,0.376516,1,1,tf,0.4827,0.0,65
ZEB1,Neutrophil,0.374959,1,1,tf,0.4807,0.0,66
PGLYRP1,Neutrophil,0.35147,1,1,other,0.0,0.8787,67
PBX3,Neutrophil,0.343148,1,1,tf,0.4399,0.0,68
RXRA,Neutrophil,0.342029,1,1,other,0.57,0.0,69
TFAP2C,Neutrophil,0.327094,1,1,other,0.5452,0.0,70
HMGN3,Neutrophil,0.327021,1,1,other,0.545,0.0,71
PADI4,Neutrophil,0.313465,1,1,other,0.0,0.7837,72
HNF4G,Neutrophil,0.312784,1,1,other,0.5213,0.0,73
PDE4D,Neutrophil,0.291776,1,1,other,0.0,0.7294,74
FOSL1,Neutrophil,0.291169,1,1,tf,0.3733,0.0,75
FTL,Neutrophil,0.290719,1,1,other,0.0,0.7268,76
NANOG,Neutrophil,0.281703,1,1,other,0.4695,0.0,77
DPYD,Neutrophil,0.277861,1,1,other,0.0,0.6947,78
BCL3,Neutrophil,0.274918,1,1,other,0.4582,0.0,79
AGTPBP1,Neutrophil,0.274512,1,1,other,0.0,0.6863,80
TFAP2A,Neutrophil,0.267945,1,1,other,0.4466,0.0,81
CTCFL,Neutrophil,0.261809,1,1,other,0.4363,0.0,82
COP1,Neutrophil,0.260044,1,1,other,0.0,0.6501,83
PAG1,Neutrophil,0.25317,1,1,other,0.0,0.6329,84
E2F4,Neutrophil,0.252813,1,1,tf,0.3241,0.0,85
S100A9,Neutrophil,0.25082,1,1,other,0.0,0.627,86
PTPRJ,Neutrophil,0.247711,1,1,other,0.0,0.6193,87
GTF2F1,Neutrophil,0.245329,1,1,other,0.4089,0.0,88
SMARCB1,Neutrophil,0.245204,1,1,other,0.4087,0.0,89
MAPK14,Neutrophil,0.241268,1,1,other,0.0,0.6032,90
MED13L,Neutrophil,0.236046,1,1,other,0.0,0.5901,91
ETS1,Neutrophil,0.235021,1,1,other,0.3917,0.0,92
CHD2,Neutrophil,0.230393,1,1,other,0.384,0.0,93
EIF4G3,Neutrophil,0.228645,1,1,other,0.0,0.5716,94
TAF7,Neutrophil,0.226598,1,1,other,0.3777,0.0,95
ARG1,Neutrophil,0.22561,1,1,other,0.0,0.564,96
ZFAND3,Neutrophil,0.225434,1,1,other,0.0,0.5636,97
SSH2,Neutrophil,0.224808,1,1,other,0.0,0.562,98
MEGF9,Neutrophil,0.224504,1,1,other,0.0,0.5613,99
ST6GALNAC3,Neutrophil,0.220579,1,1,other,0.0,0.5514,100
IL1R2,Neutrophil,0.215218,1,1,other,0.0,0.538,101
STAT2,Neutrophil,0.214672,1,1,tf,0.2752,0.0,102
PICALM,Neutrophil,0.213456,1,1,other,0.0,0.5336,103
DOCK8,Neutrophil,0.212987,1,1,other,0.0,0.5325,104
NFYB,Neutrophil,0.210614,1,1,other,0.351,0.0,105
BCLAF1,Neutrophil,0.200862,1,1,other,0.3348,0.0,106
PRDM1,Neutrophil,0.191622,1,1,tf,0.2457,0.0,107
GTF2B,Neutrophil,0.188561,1,1,other,0.3143,0.0,108
NRF1,Neutrophil,0.17261,1,1,other,0.2877,0.0,109
ATP8B4,Neutrophil,0.168246,1,1,mitochondrial,0.0,0.6009,110
NFYA,Neutrophil,0.165564,1,1,other,0.2759,0.0,111
ATF3,Neutrophil,0.162991,1,1,other,0.2717,0.0,112
BRCA1,Neutrophil,0.161086,1,1,other,0.2685,0.0,113
POU5F1,Neutrophil,0.157866,1,1,other,0.2631,0.0,114
SMARCA4,Neutrophil,0.156818,1,1,other,0.2614,0.0,115
ELK4,Neutrophil,0.145133,1,1,other,0.2419,0.0,116
SIRT6,Neutrophil,0.128482,1,1,other,0.2141,0.0,117
NFE2,Neutrophil,0.12183,1,1,tf,0.1562,0.0,118
SMARCC1,Neutrophil,0.119874,1,1,other,0.1998,0.0,119
BHLHE40,Neutrophil,0.118671,1,1,other,0.1978,0.0,120
SIX5,Neutrophil,0.107054,1,1,other,0.1784,0.0,121
POLR3A,Neutrophil,0.105561,1,1,other,0.1759,0.0,122
ZBTB33,Neutrophil,0.105561,1,1,other,0.1759,0.0,123
SP2,Neutrophil,0.097927,1,1,other,0.1632,0.0,124
NR2C2,Neutrophil,0.080452,1,1,other,0.1341,0.0,125
BRF2,Neutrophil,0.071448,1,1,other,0.1191,0.0,126
THAP1,Neutrophil,0.070534,1,1,other,0.1176,0.0,127
SMARCC2,Neutrophil,0.067797,1,1,other,0.113,0.0,128
IRF3,Neutrophil,0.067563,1,1,tf,0.0866,0.0,129
WHIP,Neutrophil,0.066821,1,1,other,0.1114,0.0,130
CTBP2,Neutrophil,0.066415,1,1,other,0.1107,0.0,131
SUZ12,Neutrophil,0.058723,1,1,tf,0.0753,0.0,132
HSF1,Neutrophil,0.057852,1,1,other,0.0964,0.0,133
ZZZ3,Neutrophil,0.053908,1,1,other,0.0898,0.0,134
RDBP,Neutrophil,0.051544,1,1,other,0.0859,0.0,135
HBB,Neutrophil,0.050962,1,1,hemoglobin,0.0,0.2831,136
SREBF1,Neutrophil,0.04809,1,1,other,0.0801,0.0,137
ZNF274,Neutrophil,0.037505,1,1,other,0.0625,0.0,138
HBA2,Neutrophil,0.037172,1,1,hemoglobin,0.0,0.2065,139
ESRRA,Neutrophil,0.033933,1,1,other,0.0566,0.0,140
PPARGC1A,Neutrophil,0.032776,1,1,other,0.0546,0.0,141
FAM48A,Neutrophil,0.025087,1,1,other,0.0418,0.0,142
HDAC8,Neutrophil,0.024916,1,1,other,0.0415,0.0,143
BDP1,Neutrophil,0.022892,1,1,other,0.0382,0.0,144
NR3C1,Neutrophil,0.021302,1,1,tf,0.0273,0.0,145
NR4A1,Neutrophil,0.015787,1,1,other,0.0263,0.0,146
KAT2A,Neutrophil,0.015662,1,1,other,0.0261,0.0,147
BRF1,Neutrophil,0.014413,1,1,other,0.024,0.0,148
CAMP,Neutrophil,0.013696,1,1,other,0.0,0.0342,149
S100A12,Neutrophil,0.012537,1,1,other,0.0,0.0313,150
NCOA2,Neutrophil,0.010363,1,1,other,0.0,0.0259,151
RNF24,Neutrophil,0.010318,1,1,other,0.0,0.0258,152
S100P,Neutrophil,0.010289,1,1,other,0.0,0.0257,153
DEFA3,Neutrophil,0.009876,1,1,other,0.0,0.0247,154
HSPA1A,Neutrophil,0.009846,1,1,other,0.0,0.0246,155
PLBD1,Neutrophil,0.009358,1,1,other,0.0,0.0234,156
STXBP5,Neutrophil,0.009056,1,1,other,0.0,0.0226,157
TYROBP,Neutrophil,0.00905,1,1,other,0.0,0.0226,158
SAMSN1,Neutrophil,0.008541,1,1,other,0.0,0.0214,159
CSGALNACT1,Neutrophil,0.008463,1,1,other,0.0,0.0212,160
S100A8,Neutrophil,0.008448,1,1,other,0.0,0.0211,161
FGD4,Neutrophil,0.008011,1,1,other,0.0,0.02,162
ELMO1,Neutrophil,0.007999,1,1,other,0.0,0.02,163
HBA1,Neutrophil,0.007446,1,1,hemoglobin,0.0,0.0414,164
GNAQ,Neutrophil,0.007393,1,1,other,0.0,0.0185,165
IRAK3,Neutrophil,0.007013,1,1,other,0.0,0.0175,166
ZBTB20,Neutrophil,0.006926,1,1,other,0.0,0.0173,167
LGALS1,Neutrophil,0.006773,1,1,other,0.0,0.0169,168
ABCA13,Neutrophil,0.006688,1,1,other,0.0,0.0167,169
NT5C2,Neutrophil,0.006604,1,1,other,0.0,0.0165,170
FOXP1,Neutrophil,0.006589,1,1,other,0.0,0.0165,171
BAZ2B,Neutrophil,0.006573,1,1,other,0.0,0.0164,172
MCU,Neutrophil,0.006506,1,1,other,0.0,0.0163,173
HSPA1B,Neutrophil,0.006444,1,1,other,0.0,0.0161,174
DIAPH2,Neutrophil,0.006432,1,1,other,0.0,0.0161,175
MBNL1,Neutrophil,0.006244,1,1,other,0.0,0.0156,176
MNDA,Neutrophil,0.006199,1,1,other,0.0,0.0155,177
SREBF2,Neutrophil,0.005825,1,1,other,0.0097,0.0,178
RABGEF1,Neutrophil,0.005766,1,1,other,0.0,0.0144,179
LINC00278,Neutrophil,0.005704,1,1,other,0.0,0.0143,180
SIPA1L1,Neutrophil,0.005685,1,1,other,0.0,0.0142,181
ATG7,Neutrophil,0.005063,1,1,other,0.0,0.0127,182
LYN,Neutrophil,0.005039,1,1,other,0.0,0.0126,183
ASAP1,Neutrophil,0.005035,1,1,other,0.0,0.0126,184
ARHGAP26,Neutrophil,0.005002,1,1,other,0.0,0.0125,185
RETN,Neutrophil,0.004686,1,1,other,0.0,0.0117,186
PPP3CA,Neutrophil,0.004642,1,1,other,0.0,0.0116,187
B4GALT5,Neutrophil,0.004468,1,1,other,0.0,0.0112,188
ARHGAP24,Neutrophil,0.004419,1,1,other,0.0,0.011,189
CUX1,Neutrophil,0.004057,1,1,tf,0.0,0.0078,190
ATXN1,Neutrophil,0.004037,1,1,other,0.0,0.0101,191
