gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
JUND,Platelet,0.8093,2,1,tf,0.8728,0.2472,1
CTCF,Platelet,0.78,1,1,tf,1.0,0.0,2
SPI1,Platelet,0.726824,1,1,tf,0.9318,0.0,3
CEBPB,Platelet,0.6958,1,1,tf,0.8921,0.0,4
GATA2,Platelet,0.672067,1,1,tf,0.8616,0.0,5
TBP,Platelet,0.662887,1,1,tf,0.8499,0.0,6
YY1,Platelet,0.657553,1,1,tf,0.843,0.0,7
RAD21,Platelet,0.654075,1,1,tf,0.8386,0.0,8
EGR1,Platelet,0.648721,1,1,tf,0.8317,0.0,9
SMC3,Platelet,0.643135,1,1,tf,0.8245,0.0,10
FOS,Platelet,0.627351,1,1,tf,0.8043,0.0,11
FOXA1,Platelet,0.623768,1,1,tf,0.7997,0.0,12
TAF1,Platelet,0.620251,1,1,tf,0.7952,0.0,13
HEY1,Platelet,0.605422,1,1,tf,0.7762,0.0,14
USF1,Platelet,0.604925,1,1,tf,0.7755,0.0,15
MAFK,Platelet,0.598069,1,1,tf,0.7668,0.0,16
GATA1,Platelet,0.596142,1,1,tf,0.7643,0.0,17
JUN,Platelet,0.574032,2,1,tf,0.7242,0.0176,18
POL2,Platelet,0.563968,1,1,other,0.9399,0.0,19
STAT3,Platelet,0.553094,1,1,tf,0.7091,0.0,20
TAL1,Platelet,0.552813,1,1,tf,0.7087,0.0,21
POLR2A,Platelet,0.549875,1,1,other,0.9165,0.0,22
FOXA2,Platelet,0.546483,1,1,tf,0.7006,0.0,23
MYC,Platelet,0.541759,1,1,tf,0.6946,0.0,24
E2F1,Platelet,0.540371,1,1,tf,0.6928,0.0,25
EBF1,Platelet,0.526176,1,1,tf,0.6746,0.0,26
NFKB1,Platelet,0.522579,1,1,tf,0.67,0.0,27
EP300,Platelet,0.507164,1,1,other,0.8453,0.0,28
MAX,Platelet,0.501914,1,1,tf,0.6435,0.0,29
ELF1,Platelet,0.490529,1,1,other,0.8175,0.0,30
MAFF,Platelet,0.482646,1,1,tf,0.6188,0.0,31
PAX5,Platelet,0.479092,1,1,tf,0.6142,0.0,32
TCF12,Platelet,0.474764,1,1,tf,0.6087,0.0,33
REST,Platelet,0.467187,1,1,other,0.7786,0.0,34
CCNT2,Platelet,0.45092,1,1,other,0.7515,0.0,35
SP1,Platelet,0.448562,1,1,other,0.7476,0.0,36
TCF4,Platelet,0.445504,1,1,tf,0.5712,0.0,37
NR3C2,Platelet,0.429803,1,1,tf,0.551,0.0,38
ZNF263,Platelet,0.418233,1,1,other,0.6971,0.0,39
IRF1,Platelet,0.414057,1,1,tf,0.5308,0.0,40
FOSL2,Platelet,0.41335,1,1,tf,0.5299,0.0,41
E2F6,Platelet,0.406106,1,1,other,0.6768,0.0,42
ESR1,Platelet,0.399065,1,1,tf,0.5116,0.0,43
GABPB1,Platelet,0.394861,1,1,other,0.6581,0.0,44
HNF4A,Platelet,0.394807,1,1,other,0.658,0.0,45
GATA3,Platelet,0.388956,1,1,tf,0.4987,0.0,46
SIN3A,Platelet,0.384227,1,1,other,0.6404,0.0,47
JUNB,Platelet,0.383691,1,1,tf,0.4919,0.0,48
USF2,Platelet,0.378604,1,1,tf,0.4854,0.0,49
STAT1,Platelet,0.377498,1,1,tf,0.484,0.0,50
HDAC2,Platelet,0.374836,1,1,other,0.6247,0.0,51
ZNF143,Platelet,0.373671,1,1,other,0.6228,0.0,52
MEF2A,Platelet,0.37293,1,1,tf,0.4781,0.0,53
BCL11A,Platelet,0.368575,1,1,tf,0.4725,0.0,54
MXI1,Platelet,0.362423,1,1,tf,0.4646,0.0,55
RFX5,Platelet,0.362044,1,1,other,0.6034,0.0,56
POU2F2,Platelet,0.354641,1,1,other,0.5911,0.0,57
IRF4,Platelet,0.345628,1,1,tf,0.4431,0.0,58
HMGN3,Platelet,0.343071,1,1,other,0.5718,0.0,59
ZBTB7A,Platelet,0.338902,1,1,other,0.5648,0.0,60
HNF4G,Platelet,0.337945,1,1,other,0.5632,0.0,61
FOSL1,Platelet,0.336147,1,1,tf,0.431,0.0,62
GTF2F1,Platelet,0.335106,1,1,other,0.5585,0.0,63
TFAP2C,Platelet,0.332767,1,1,other,0.5546,0.0,64
RXRA,Platelet,0.324627,1,1,other,0.541,0.0,65
BATF,Platelet,0.314764,1,1,other,0.5246,0.0,66
SRT,Platelet,0.29943,1,1,other,0.499,0.0,67
CTCFL,Platelet,0.295468,1,1,other,0.4924,0.0,68
MEF2C,Platelet,0.293733,1,1,tf,0.3766,0.0,69
CHD2,Platelet,0.291732,1,1,other,0.4862,0.0,70
ELK4,Platelet,0.289379,1,1,other,0.4823,0.0,71
MT-ND3,Platelet,0.28,1,1,mitochondrial,0.0,1.0,72
ETS1,Platelet,0.278516,1,1,other,0.4642,0.0,73
BCLAF1,Platelet,0.274781,1,1,other,0.458,0.0,74
ZEB1,Platelet,0.265207,1,1,tf,0.34,0.0,75
E2F4,Platelet,0.260526,1,1,tf,0.334,0.0,76
TAF7,Platelet,0.25507,1,1,other,0.4251,0.0,77
GTF2B,Platelet,0.252693,1,1,other,0.4212,0.0,78
TRIM28,Platelet,0.252154,1,1,other,0.4203,0.0,79
BCL3,Platelet,0.249058,1,1,other,0.4151,0.0,80
SETDB1,Platelet,0.247428,1,1,other,0.4124,0.0,81
NFYA,Platelet,0.239557,1,1,other,0.3993,0.0,82
TFAP2A,Platelet,0.234618,1,1,other,0.391,0.0,83
NFYB,Platelet,0.234351,1,1,other,0.3906,0.0,84
PBX3,Platelet,0.228923,1,1,tf,0.2935,0.0,85
NANOG,Platelet,0.213713,1,1,other,0.3562,0.0,86
PF4,Platelet,0.211093,1,1,other,0.0,0.5277,87
STAT2,Platelet,0.210495,1,1,tf,0.2699,0.0,88
LTB,Platelet,0.200635,1,1,other,0.0,0.5016,89
SMARCB1,Platelet,0.200405,1,1,other,0.334,0.0,90
MAP3K7CL,Platelet,0.198443,1,1,other,0.0,0.4961,91
SIX5,Platelet,0.194937,1,1,other,0.3249,0.0,92
RPS29,Platelet,0.192457,1,1,ribosomal,0.0,0.8748,93
SP2,Platelet,0.191562,1,1,other,0.3193,0.0,94
NRF1,Platelet,0.184826,1,1,other,0.308,0.0,95
ZBTB33,Platelet,0.161337,1,1,other,0.2689,0.0,96
ATF3,Platelet,0.160527,1,1,other,0.2675,0.0,97
BRCA1,Platelet,0.155583,1,1,other,0.2593,0.0,98
IRF3,Platelet,0.150435,1,1,tf,0.1929,0.0,99
PPBP,Platelet,0.146863,1,1,other,0.0,0.3672,100
THAP1,Platelet,0.135685,1,1,other,0.2261,0.0,101
PRDM1,Platelet,0.129911,1,1,tf,0.1666,0.0,102
RPS2,Platelet,0.1281,1,1,ribosomal,0.0,0.5823,103
NFE2,Platelet,0.128007,1,1,tf,0.1641,0.0,104
ITGA2B,Platelet,0.123102,1,1,other,0.0,0.3078,105
SUZ12,Platelet,0.120707,1,1,tf,0.1548,0.0,106
BHLHE40,Platelet,0.117725,1,1,other,0.1962,0.0,107
S100A6,Platelet,0.110841,1,1,other,0.0,0.2771,108
SMARCC1,Platelet,0.107616,1,1,other,0.1794,0.0,109
NR2C2,Platelet,0.104828,1,1,other,0.1747,0.0,110
RDBP,Platelet,0.102948,1,1,other,0.1716,0.0,111
IL7R,Platelet,0.10073,1,1,other,0.0,0.2518,112
SMARCA4,Platelet,0.099932,1,1,other,0.1666,0.0,113
SIRT6,Platelet,0.097962,1,1,other,0.1633,0.0,114
POLR3A,Platelet,0.097078,1,1,other,0.1618,0.0,115
CTBP2,Platelet,0.082275,1,1,other,0.1371,0.0,116
MYL9,Platelet,0.080354,1,1,other,0.0,0.2009,117
ZZZ3,Platelet,0.077554,1,1,other,0.1293,0.0,118
C6ORF25,Platelet,0.076243,1,1,other,0.0,0.1906,119
POU5F1,Platelet,0.075506,1,1,other,0.1258,0.0,120
WHIP,Platelet,0.075157,1,1,other,0.1253,0.0,121
GPX1,Platelet,0.06976,1,1,other,0.0,0.1744,122
GP9,Platelet,0.068571,1,1,other,0.0,0.1714,123
NKG7,Platelet,0.065223,1,1,other,0.0,0.1631,124
HSF1,Platelet,0.06467,1,1,other,0.1078,0.0,125
CMTM5,Platelet,0.061118,1,1,other,0.0,0.1528,126
RPL17,Platelet,0.055516,1,1,ribosomal,0.0,0.2523,127
SMARCC2,Platelet,0.055017,1,1,other,0.0917,0.0,128
SREBF1,Platelet,0.052368,1,1,other,0.0873,0.0,129
VCL,Platelet,0.052197,1,1,other,0.0,0.1305,130
TPM1,Platelet,0.048205,1,1,other,0.0,0.1205,131
NR3C1,Platelet,0.046701,1,1,tf,0.0599,0.0,132
HBB,Platelet,0.046447,1,1,hemoglobin,0.0,0.258,133
S100A10,Platelet,0.045932,1,1,other,0.0,0.1148,134
