gene,driver_score,evidence_count,gene_category,category_multiplier,geneWeight_norm,geneWeight_raw,DREM_norm,DREM_raw,DREM_trajectories,dynamic_norm,dynamic_qval,dynamic_log2fc,dynamic_track_count,dynamic_direction,network_norm,is_HC_marker,is_MFVS_driver,rank
JUN,1.008796,4,tf,1.3,0.8938,1.711644,0.9694,1989.995,81,0.0105,1.8651695140700103e-13,0.7065,5,increasing,0.7282,False,True,1
FOS,0.941798,4,tf,1.3,0.809,1.549771,0.9565,1963.6755,81,0.0157,5.1204035149836955e-17,0.7989,6,increasing,0.6409,False,True,2
SPI1,0.911633,4,tf,1.56,0.4884,0.9377,0.9957,2043.7058,81,0.0018,8.754228050069762e-09,0.2113,2,increasing,0.6349,False,True,3
JUND,0.844552,4,tf,1.3,0.6275,1.203275,0.7473,1536.6415,81,0.2735,0.0,0.6805,7,increasing,0.724,False,True,4
TCF12,0.832376,4,tf,1.56,0.4001,0.769037,0.7504,1543.0412,81,0.2629,0.0,0.8332,4,increasing,0.6376,False,True,5
GATA2,0.75566,4,tf,1.56,0.2887,0.55646,0.9728,1996.826,81,0.0004,0.00045487911074550445,0.12,2,increasing,0.6246,False,True,6
GATA1,0.725056,4,tf,1.56,0.3394,0.653154,0.8054,1655.2429,81,0.0004,0.00019121072622069532,0.1278,1,increasing,0.6697,False,True,7
TCF4,0.71037,4,tf,1.56,0.3057,0.58878,0.7846,1612.8633,81,0.108,0.0,0.3076,3,increasing,0.5595,False,True,8
EBF1,0.650199,3,tf,1.56,0.2712,0.522952,0.8848,1817.3506,81,0.0,1.0,0.0,0,N/A,0.4923,False,True,9
PAX5,0.636755,3,tf,1.56,0.2743,0.528834,0.8457,1737.5145,81,0.0,1.0,0.0,0,N/A,0.4994,False,True,10
EGR1,0.604601,4,tf,1.3,0.3153,0.607173,0.8367,1719.2252,81,0.0036,3.052811115383162e-08,0.5399,1,decreasing,0.6839,False,True,11
BCL11A,0.603706,4,tf,1.56,0.2865,0.552263,0.7444,1530.6726,81,0.0017,5.812314985903793e-05,0.3966,2,decreasing,0.3548,False,True,12
IRF4,0.56723,3,tf,1.56,0.2655,0.512158,0.746,1533.9439,81,0.0,1.0,0.0,0,N/A,0.3785,False,True,13
ZEB1,0.506398,4,tf,1.3,0.3883,0.746547,0.415,858.5975,81,0.1609,0.0,0.4493,4,increasing,0.4746,False,True,14
MYC,0.503938,2,tf,1.56,0.0,0.0,0.8388,1723.4682,81,0.0,1.0,0.0,0,N/A,0.9795,False,True,15
ESR1,0.501131,4,tf,1.3,0.2778,0.535591,0.6473,1332.5782,81,0.0005,0.00018940188383523063,0.1426,1,increasing,0.6217,False,True,16
NR3C2,0.487086,4,tf,1.3,0.273,0.526435,0.7348,1511.2253,81,0.0001,0.027823834573095375,0.0857,1,increasing,0.3289,False,True,17
PBX3,0.476621,4,tf,1.3,0.3209,0.617879,0.4367,902.7724,81,0.178,0.0,0.5557,3,increasing,0.4568,False,True,18
MEF2C,0.462159,4,tf,1.3,0.3507,0.674858,0.5379,1109.3515,81,0.0054,7.130698418775334e-15,0.2843,5,decreasing,0.3328,False,True,19
