celltype,candidate_count,top5_TFs,n_trajectories
B,282,"JUND, NFKB1, PAX5, CTCF, CEBPB",1
CD4+ T,752,"CEBPB, MAFK, CTCF, GATA2, FOXA1",3
CD8+ T,254,"CTCF, CEBPB, SPI1, RAD21, USF1",2
Eryp,809,"CTCF, CEBPB, YY1, TAF1, TBP",2
GMP,699,"TCF12, SPI1, CEBPB, CTCF, JUND",1
HSPC,984,"TCF12, MAFK, MAFF, YY1, JUND",1
MEP,724,"CEBPB, MAFK, CTCF, GATA2, FOXA1",1
Monocyte,346,"USF1, CEBPB, CTCF, MAFK, TAF1",1
NK,228,"JUND, YY1, FOXA1, CTCF, TAF1",1
Neutrophil,350,"CEBPB, JUND, SPI1, STAT3, RAD21",1
Platelet,228,"JUND, CTCF, SPI1, CEBPB, GATA2",1
