gene,cascade_category,CTS,HPS,layer_consistency,propagation_depth,S_HSPC,Z_HSPC,S_GMP,Z_GMP,S_Monocyte,Z_Monocyte,S_Neutrophil,Z_Neutrophil,vexas_mechanism,evidence_level,overall_score,overall_rank,overall_category
ABCB1,Other,1.0000000000007214,0.04077300392079663,-0.7320508075688774,1,0.1359100130693221,0.21189057712192205,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.162877,519.0,other
ABCC1,Other,0.9704665032133826,0.06711824182073702,-0.7162777409878058,2,0.22244970498329422,0.7397118662196466,0.0015333213029950074,-0.38481437615800473,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.229754,160.0,other
ABCC4,Other,0.9947222168626174,0.05019264946328286,-0.7299383168510907,2,0.16718123704688004,0.40261944830748514,0.000153113396875393,-0.39328275228166254,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.185419,351.0,other
AC007319.1,Other,0.9924209800875335,0.06319093787423921,-0.7288514642993189,2,0.21039311864647756,0.6661765577193266,0.00029200912118378526,-0.3924305464435448,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.171825,456.0,other
AC008014.1,Other,0.9751886258745555,0.05969891344171574,-0.7192420710275802,2,0.19807405220073165,0.5910403353909881,0.001106791125984984,-0.38743138621206696,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.035377,1899.0,other
AC010737.1,Other,1.0000000000007214,0.036872877602244204,-0.7320508075688772,1,0.12290959200748068,0.13259864931501858,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.018575,1985.0,other
AC079793.1,Other,0.9984398414244502,0.07109984633976955,-0.7315180164167865,2,0.2369539183358761,0.8281756961662398,5.4683356026926085e-05,-0.3938866776787538,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.047705,1850.0,other
AC092821.3,Other,1.0000000000007214,0.044807651295175284,-0.7320508075688772,1,0.14935883765058428,0.29391739938502376,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.022571,1969.0,other
AC096577.1,Other,1.0000000000007214,0.03972144298439884,-0.7320508075688772,1,0.13240480994799614,0.19051170704359063,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.020009,1978.0,other
AC107223.1,Other,1.0000000000007214,0.03855471890020834,-0.7320508075688774,1,0.12851572966736113,0.16679150049178204,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.019422,1980.0,other
AC118549.1,Other,0.9719768371712971,0.03594812736847286,-0.7172388121634585,2,0.11918456179492648,0.10987901390572168,0.0007710353199796578,-0.38949144284436726,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.02129,1975.0,other
AC139720.1,Other,1.0000000000007214,0.056462752432042254,-0.7320508075688772,1,0.18820917477347418,0.5308726573546233,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.028441,1928.0,other
ACSM3,Other,0.9451036890293057,0.03808334837125623,-0.6985555754054309,2,0.12539877837382635,0.1477806487840614,0.0018548594364333328,-0.3828415531941732,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.172094,453.0,other
ADK,Other,0.49719190997094476,0.13445040493025134,-0.0033404997321166974,3,0.22828441907136723,0.7752988465216429,0.2634283183227521,1.2220633484471621,0.0,-0.3026875277812725,0.00043199851261271606,-0.3113735783097994,Other,Computational_Prediction,0.232086,149.0,other
AFDN,Other,1.0000000000007214,0.0418468756664534,-0.7320508075688772,1,0.13948958555484467,0.23372303945152528,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.023126,1965.0,other
AFF1,Other,0.9293497384589562,0.05849287202454189,-0.6862358960896948,2,0.19171984623040286,0.5522848798043719,0.003907672621684137,-0.37024635352372487,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.193485,297.0,other
AGPS,Other,0.9699957643569711,0.060968114135100684,-0.7159757813995358,2,0.20204406384828646,0.615254157039769,0.001419579922459001,-0.38551224550575464,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.197235,271.0,other
AGTPBP1,Neut_Amplifier,0.885469275997694,0.07769876032831886,-0.6561244093504375,3,0.0014272355923027706,-0.608344293137679,0.008857610009241488,-0.3398756163322231,0.0,-0.3026875277812725,0.30022474859327064,1.6590758691447716,Other,Computational_Prediction,0.189547,327.0,other
AHR,Other,0.9818879501786822,0.04731860163721968,-0.7232285634601734,2,0.15722558524861788,0.34189812090559724,0.0006037042505372639,-0.39051811601942243,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.257427,112.0,tf
AJ009632.2,Other,1.0000000000007214,0.05285496333480978,-0.7320508075688772,1,0.1761832111160326,0.4575241221342388,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.026624,1942.0,other
AKT3,Other,0.9874409727978626,0.06745990342919325,-0.7263071555285372,2,0.22439971345921442,0.751605321866968,0.0005599575657157231,-0.39078652730701857,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.194401,286.0,other
AL050309.1,Other,1.0000000000007214,0.04564004134061716,-0.7320508075688772,1,0.15213347113539052,0.3108403926420369,0.0,-0.39422219178824897,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.02299,1966.0,other
AL589693.1,Other,0.9857525317604257,0.06900596595414253,-0.7253953248722746,2,0.22946667322866937,0.78250962922201,0.0006638559421668827,-0.39014905049897775,0.0,-0.3026875277812725,0.0,-0.31421297729543163,Other,Computational_Prediction,0.046199,1855.0,other
